CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 3 ; Serial number 0"
DESCRIPTOR	"Chart 2033 Patches"
FILTER	""
CREATED		"2025-04-06T20:23:11"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	2033
BEGIN_DATA
517	-	  139.09	  212.50	   92.73	
518	-	   64.73	   64.73	   79.12	
519	-	  188.21	  188.21	  188.21	
520	-	  105.92	  105.92	  129.46	
521	-	  255.00	   85.00	  185.45	
522	-	   69.55	   63.75	  162.27	
523	-	  231.82	   42.50	  255.00	
524	-	   46.36	   85.00	  185.45	
525	-	    0.00	  106.25	  162.27	
526	-	  231.82	  255.00	  115.91	
527	-	  255.00	  233.75	   69.55	
528	-	  208.64	    0.00	   69.55	
529	-	  208.64	  191.25	    0.00	
530	-	   69.55	  170.00	  162.27	
531	-	   92.73	  127.50	   23.18	
532	-	  139.09	   42.50	  231.82	
533	-	   92.73	   21.25	  185.45	
534	-	    0.00	  233.75	   23.18	
535	-	  185.45	  255.00	    0.00	
536	-	  139.09	  170.00	  115.91	
537	-	   41.19	   41.19	   50.35	
538	-	  255.00	  148.75	  185.45	
539	-	   69.55	    0.00	   69.55	
540	-	   69.55	   21.25	    0.00	
541	-	   69.55	  212.50	  162.27	
542	-	  115.91	  233.75	  255.00	
543	-	   46.36	   21.25	   46.36	
544	-	   23.18	  212.50	  231.82	
545	-	  208.64	  212.50	    0.00	
546	-	  115.91	  233.75	  185.45	
547	-	  255.00	  170.00	  115.91	
548	-	  162.27	    0.00	   92.73	
549	-	   92.73	    0.00	  162.27	
550	-	   69.55	  191.25	  208.64	
551	-	   52.96	   64.73	   52.96	
552	-	  139.09	   63.75	  185.45	
553	-	  188.31	  230.15	  188.31	
554	-	  208.64	   85.00	  139.09	
555	-	  231.82	  255.00	   23.18	
556	-	  162.27	  148.75	  115.91	
557	-	  255.00	    0.00	  162.27	
558	-	    0.00	  127.50	   23.18	
559	-	  208.64	   21.25	  162.27	
560	-	  255.00	  148.75	   92.73	
561	-	   92.73	    0.00	  231.82	
562	-	   92.73	  212.50	  139.09	
563	-	  162.27	  255.00	    0.00	
564	-	  139.09	  148.75	  139.09	
565	-	    5.88	    7.19	    5.88	
566	-	   92.73	  148.75	   69.55	
567	-	  201.38	  164.77	  164.77	
568	-	   46.36	  255.00	  185.45	
569	-	   92.73	  127.50	   69.55	
570	-	  255.00	  191.25	    0.00	
571	-	   54.64	   54.64	   54.64	
572	-	   23.18	   85.00	  139.09	
573	-	  162.27	  106.25	    0.00	
574	-	   69.55	  255.00	  255.00	
575	-	   69.55	  148.75	  115.91	
576	-	   46.36	  170.00	  115.91	
577	-	   23.18	  170.00	  162.27	
578	-	  185.45	  170.00	   46.36	
579	-	  139.09	  170.00	  185.45	
580	-	   92.73	   42.50	    0.00	
581	-	   46.36	  255.00	  208.64	
582	-	  185.45	    0.00	   46.36	
583	-	  185.45	  148.75	   92.73	
584	-	  255.00	   63.75	   46.36	
585	-	  208.64	  127.50	  231.82	
586	-	  185.45	   63.75	  255.00	
587	-	  115.91	   63.75	  185.45	
588	-	    0.00	  212.50	    0.00	
589	-	  115.91	  127.50	  231.82	
590	-	    0.00	    0.00	  115.91	
591	-	    0.00	  106.25	  115.91	
592	-	   23.18	   85.00	   23.18	
593	-	  139.09	  212.50	    0.00	
594	-	   46.36	  170.00	  162.27	
595	-	  139.09	  148.75	  255.00	
