CTI1   

DESCRIPTOR "Argyll Calibration Target chart information 1"
ORIGINATOR "Argyll targen"
CREATED "Tue Apr  8 19:51:28 2025"
APPROX_WHITE_POINT "95.106486 100.000000 108.844025"
COLOR_REP "iRGB"
WHITE_COLOR_PATCHES "16"
BLACK_COLOR_PATCHES "16"
OFPS_PATCHES "2388"

NUMBER_OF_FIELDS 7
BEGIN_DATA_FORMAT
SAMPLE_ID RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z 
END_DATA_FORMAT

NUMBER_OF_SETS 2420
BEGIN_DATA
371 207.7912 32.48858 118.6481 30.49626 16.60789 19.63333
372 38.92098 200.7228 181.6018 30.76006 45.97798 51.72824
373 119.6843 226.5054 193.9191 45.32041 62.90203 61.11165
374 255.0000 145.2209 0.000000 51.88858 42.16617 6.266061
375 25.85937 0.000000 102.0679 3.796063 2.166623 13.54393
376 158.8177 130.9091 34.31073 23.43426 24.44170 5.865438
377 24.22168 0.000000 68.38732 2.422978 1.612844 6.520753
378 161.4622 0.000000 0.000000 15.64428 8.550638 1.686205
379 140.2004 33.56684 88.73558 14.06970 8.356004 11.03359
380 171.2020 136.3189 207.4317 37.63587 31.59662 63.71016
381 0.000000 103.8487 75.53719 7.161837 11.28111 9.347969
382 124.0080 0.000000 192.2922 18.68295 9.024083 51.17156
383 112.3430 177.3201 121.6976 26.74733 37.07028 24.74328
384 201.9278 141.3695 146.6642 39.76837 34.46498 32.61740
385 227.0393 0.000000 127.8288 36.22256 18.71595 22.73024
386 44.71070 153.8537 119.8755 16.82503 25.71632 22.49533
387 167.2329 0.000000 126.3815 20.57976 10.66129 21.50905
388 85.14756 211.6070 0.000000 27.93511 49.33827 8.912072
389 47.15753 36.58551 153.2827 8.526091 5.172593 31.37527
390 113.4392 0.000000 44.14442 8.251275 4.686406 3.703563
391 0.000000 29.59073 166.9513 8.350943 4.658981 37.50055
392 0.000000 135.7991 255.0000 27.55994 25.52254 98.02526
