CTI1   

DESCRIPTOR "Argyll Calibration Target chart information 1"
ORIGINATOR "Argyll targen"
CREATED "Mon Aug 11 12:25:15 2025"
APPROX_WHITE_POINT "95.106486 100.000000 108.844025"
COLOR_REP "iRGB"
TOTAL_INK_LIMIT "300.0"
WHITE_COLOR_PATCHES "4"
BLACK_COLOR_PATCHES "4"
OFPS_PATCHES "672"

NUMBER_OF_FIELDS 7
BEGIN_DATA_FORMAT
SAMPLE_ID RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z 
END_DATA_FORMAT

NUMBER_OF_SETS 680
BEGIN_DATA
120 206.6263 63.84911 148.5634 33.51657 19.82988 30.89961
592 210.4259 128.6997 166.1484 41.99594 32.82492 40.78135
437 231.4923 154.7345 165.1770 52.08660 43.71920 41.89135
327 235.4761 110.3970 92.25514 42.56315 30.46392 14.58341
673 175.6125 132.4408 144.2909 31.87487 28.55252 30.93770
138 78.35349 45.68391 106.6855 7.705727 5.572981 15.21888
565 85.60179 27.99843 157.4754 11.24028 6.188432 33.26241
583 136.0318 141.0374 90.37546 22.33646 25.79187 14.32407
339 119.5999 235.2778 20.77273 38.23828 63.95510 11.88259
409 187.9014 167.5937 0.000000 35.29846 39.14972 6.557571
242 67.02567 66.03780 206.9379 16.36790 10.50077 60.44433
168 37.00057 128.8596 44.02422 9.960040 17.07568 5.993302
655 78.51758 160.7881 160.6044 23.06939 30.31919 38.70762
354 151.3770 156.3113 210.3288 37.08556 35.81463 66.41428
258 235.3728 62.27533 40.05119 37.14296 22.14473 5.170509
513 106.6269 19.28963 136.7414 11.64654 6.323840 24.80820
573 232.5955 197.1183 162.7392 60.45673 60.27944 43.50441
74 0.000000 76.43390 94.85760 5.627181 6.991618 12.60079
530 148.0291 76.04375 79.13825 17.06066 12.92072 9.806742
159 153.1077 85.38662 117.6950 20.49263 15.49623 19.65099
469 71.97191 232.8930 197.2634 42.47177 63.99740 63.44418
580 22.22053 238.6841 181.6008 40.12022 65.42751 54.98906
639 61.80705 185.4382 135.2544 24.57026 38.27740 29.74682
7 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000
597 25.69499 237.5074 237.8985 46.80841 67.56890 91.46444
295 174.6810 179.3296 255.0000 52.32948 49.18253 101.2878
333 192.3841 0.000000 40.81764 23.01176 12.30386 4.083654
82 0.000000 45.88072 0.000000 1.962695 2.925120 1.320901
156 116.9238 116.9351 86.80103 16.23900 17.99732 12.36563
366 231.0736 53.62193 204.6798 45.81175 24.76018 60.22347
14 255.0000 0.000000 255.0000 59.70128 29.19948 97.04219
201 255.0000 30.27836 89.95033 44.12192 23.71530 12.68167
653 231.1497 60.16184 234.8078 50.10290 26.99033 81.12196
669 136.9630 25.07192 135.1075 15.89105 8.689261 24.43875
568 23.37832 236.2703 66.28714 32.11550 61.11924 16.11432
53 0.000000 255.0000 173.6535 43.93606 74.81238 52.46760
121 0.000000 77.08219 44.98217 4.101864 6.453171 4.346026
663 179.9683 142.3031 204.2334 40.06860 34.17233 62.06397
642 116.8827 15.41805 176.4233 16.22302 8.206569 42.48326
278 100.7958 140.5063 58.86626 16.42751 22.75351 8.466094
90 255.0000 111.2026 159.5606 53.72441 35.84782 37.68584
280 154.3708 216.6362 0.000000 38.73794 56.78002 9.779581
194 128.6766 39.04180 255.0000 28.50553 14.18294 95.78658
24 107.7959 255.0000 255.0000 60.37466 82.09216 107.2166
665 94.73920 59.52533 229.8195 21.33724 12.19112 76.09472
417 155.2555 150.0129 63.97593 26.14760 29.88903 10.05185
618 161.3997 212.7173 137.8271 43.64921 57.32488 33.37283
491 224.4630 89.60067 236.9804 50.29563 29.98973 83.32874
608 77.63074 81.58880 57.24120 7.774711 8.795956 6.012721
10 0.000000 0.000000 255.0000 18.87111 8.147314 95.12896
351 119.4829 31.07223 92.70104 11.02805 6.668502 11.75294
670 23.33216 30.64811 129.7634 5.807116 3.725502 22.10492
